cw0_bler,cw0_cb_bler,cw0_cb_errors,cw0_cb_trials,cw0_n_cbs,cw0_successful_payload_bits,cw0_tb_size,cw0_throughput_bits_per_slot,cw1_bler,cw1_cb_bler,cw1_cb_errors,cw1_cb_trials,cw1_n_cbs,cw1_successful_payload_bits,cw1_tb_size,cw1_throughput_bits_per_slot,goodput_bits_per_slot,goodput_se_layer_re,goodput_se_tf,meta_bandwidth_mhz,meta_baseline_1,meta_baseline_2,meta_cb_e_values,meta_channel,meta_csi_error_case,meta_detector_baseline,meta_full_grid_bytes_per_trial,meta_list_size,meta_mapping,meta_memory_policy,meta_modulation,meta_n_prbs,meta_n_re_sampled,meta_payload_k_per_cb,meta_phase,meta_precoder,meta_qm,meta_rank,meta_receiver_csi,meta_retained_channel_bytes_per_trial,meta_rx_nmse_db,meta_sc_mimo_layer_groups,meta_sc_mimo_receiver,meta_scs_khz,meta_speed_kmh,meta_tb_size,meta_tx_nmse_db,scheme,scheme_bler,scheme_cb_bler,snr_db,total_throughput_bits_per_slot,trials
1.0,0.9,36,40,4,96.0,96,9.6,,,,,,,,,9.6,0.049999999999999996,0.19999999999999998,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,nr_1cw,1.0,0.9,-12.0,9.6,10
1.0,0.85,34,40,4,144.0,96,14.4,,,,,,,,,14.4,0.075,0.3,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,sc_mimo_sic,1.0,0.85,-12.0,14.4,10
0.2,0.1,2,20,2,432.0,48,43.2,1.0,1.0,20,20,2,0.0,48,0.0,43.2,0.225,0.9,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,baseline_2cw_scheme4,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,baseline_2cw,1.0,0.55,-12.0,43.2,10
0.4,0.125,5,40,4,840.0,96,84.0,,,,,,,,,84.0,0.4375,1.75,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,nr_1cw,0.4,0.125,-8.0,84.0,10
0.1,0.025,1,40,4,936.0,96,93.6,,,,,,,,,93.6,0.4875,1.95,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,sc_mimo_sic,0.1,0.025,-8.0,93.6,10
0.0,0.0,0,20,2,480.0,48,48.0,1.0,1.0,20,20,2,0.0,48,0.0,48.0,0.25,1.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,baseline_2cw_scheme4,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,baseline_2cw,1.0,0.5,-8.0,48.0,10
0.1,0.05,2,40,4,912.0,96,91.2,,,,,,,,,91.2,0.47500000000000003,1.9000000000000001,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,nr_1cw,0.1,0.05,-4.0,91.2,10
0.1,0.05,2,40,4,912.0,96,91.2,,,,,,,,,91.2,0.47500000000000003,1.9000000000000001,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,sc_mimo_sic,0.1,0.05,-4.0,91.2,10
0.0,0.0,0,20,2,480.0,48,48.0,1.0,1.0,20,20,2,0.0,48,0.0,48.0,0.25,1.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,baseline_2cw_scheme4,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,baseline_2cw,1.0,0.5,-4.0,48.0,10
0.0,0.0,0,40,4,960.0,96,96.0,,,,,,,,,96.0,0.5,2.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,nr_1cw,0.0,0.0,0.0,96.0,10
0.0,0.0,0,40,4,960.0,96,96.0,,,,,,,,,96.0,0.5,2.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,txrx_nmse_-15dB,kbest_rml,16932864,256,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,-15dB,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,-15dB,sc_mimo_sic,0.0,0.0,0.0,96.0,10
